origin,split,model,horizon,score,n_rows,actual_sum
2022-04-21,selection,item_topdown,11,0.5422930129768574,24.0,28.0
2022-04-21,selection,item_topdown,12,0.4419326156987961,24.0,30.0
2022-04-21,selection,item_topdown,13,0.14556338728176327,24.0,21.0
2022-04-21,selection,item_topdown,14,0.5478157061611082,24.0,32.0
2022-04-21,selection,item_topdown,15,0.268246837498936,24.0,65.0
2022-04-21,selection,item_topdown,16,0.36111216478007097,24.0,48.0
2022-04-21,selection,item_topdown,17,0.30374221566712817,24.0,66.0
2022-04-21,selection,item_topdown,18,0.3375013674770917,24.0,30.0
2022-04-21,selection,item_topdown,19,0.4195576232281687,24.0,37.0
2022-04-21,selection,item_topdown,20,0.4750959951971212,24.0,38.0
2022-04-21,selection,item_topdown,21,0.4098636389895489,24.0,43.0
2022-04-21,selection,item_topdown,22,0.42485578539662383,24.0,47.0
2022-04-21,selection,item_topdown,23,0.36444950427258627,24.0,34.0
2022-04-21,selection,item_topdown,24,0.37629084101037746,24.0,37.0
2022-04-21,selection,item_topdown,25,0.5173730820071641,24.0,31.0
2022-04-21,selection,item_topdown,26,0.30679085829241115,24.0,56.0
2022-04-21,selection,item_topdown,27,0.3651369451982341,24.0,63.0
2022-04-21,selection,item_topdown,28,0.4815322428547702,24.0,59.0
2022-04-21,selection,lgbm,1,0.40164098815305677,24.0,55.0
2022-04-21,selection,lgbm,2,0.6337959879605605,24.0,23.0
2022-04-21,selection,lgbm,3,0.4759564195602728,24.0,39.0
2022-04-21,selection,lgbm,4,0.47050127261808433,24.0,44.0
2022-04-21,selection,lgbm,5,0.5093973491970304,24.0,39.0
2022-04-21,selection,lgbm,6,0.3874290884814625,24.0,57.0
2022-04-21,selection,lgbm,7,0.5297299583676763,24.0,44.0
2022-04-21,selection,lgbm,8,0.41557766946238783,24.0,30.0
2022-04-21,selection,lgbm,9,0.4715897688808176,24.0,36.0
2022-04-21,selection,lgbm,10,0.45915635095249957,24.0,41.0
2022-04-21,selection,lgbm,11,0.521478343588398,24.0,28.0
2022-04-21,selection,lgbm,12,0.4755074908373947,24.0,30.0
2022-04-21,selection,lgbm,13,0.16258308294085771,24.0,21.0
2022-04-21,selection,lgbm,14,0.49133347881312384,24.0,32.0
2022-04-21,selection,lgbm,15,0.24307509555558837,24.0,65.0
2022-04-21,selection,lgbm,16,0.387940963578179,24.0,48.0
2022-04-21,selection,lgbm,17,0.3546807236464707,24.0,66.0
2022-04-21,selection,lgbm,18,0.40272352718898385,24.0,30.0
2022-04-21,selection,lgbm,19,0.4420009551741232,24.0,37.0
2022-04-21,selection,lgbm,20,0.5080290975569799,24.0,38.0
2022-04-21,selection,lgbm,21,0.3692038745497573,24.0,43.0
2022-04-21,selection,lgbm,22,0.34859345918236506,24.0,47.0
2022-04-21,selection,lgbm,23,0.31023694026362264,24.0,34.0
2022-04-21,selection,lgbm,24,0.3024713795089233,24.0,37.0
2022-04-21,selection,lgbm,25,0.438304230165476,24.0,31.0
2022-04-21,selection,lgbm,26,0.3313958508310922,24.0,56.0
2022-04-21,selection,lgbm,27,0.30084433163478796,24.0,63.0
2022-04-21,selection,lgbm,28,0.365790454805468,24.0,59.0
2022-04-21,selection,wbaseline,1,0.3361983732214446,24.0,55.0
2022-04-21,selection,wbaseline,2,0.4382708524813608,24.0,23.0
2022-04-21,selection,wbaseline,3,0.41220103743025394,24.0,39.0
2022-04-21,selection,wbaseline,4,0.48039606934980755,24.0,44.0
2022-04-21,selection,wbaseline,5,0.24247925783683782,24.0,39.0
2022-04-21,selection,wbaseline,6,0.3575246045885569,24.0,57.0
2022-04-21,selection,wbaseline,7,0.5428141756094415,24.0,44.0
2022-04-21,selection,wbaseline,8,0.41576391171795796,24.0,30.0
2022-04-21,selection,wbaseline,9,0.42896420812136793,24.0,36.0
2022-04-21,selection,wbaseline,10,0.38190952318948074,24.0,41.0
2022-04-21,selection,wbaseline,11,0.5970698419262924,24.0,28.0
2022-04-21,selection,wbaseline,12,0.2927000639293555,24.0,30.0
2022-04-21,selection,wbaseline,13,0.1982478778297653,24.0,21.0
2022-04-21,selection,wbaseline,14,0.5220427757053252,24.0,32.0
2022-04-21,selection,wbaseline,15,0.23465036623180233,24.0,65.0
2022-04-21,selection,wbaseline,16,0.372488694721644,24.0,48.0
2022-04-21,selection,wbaseline,17,0.31161983391481796,24.0,66.0
2022-04-21,selection,wbaseline,18,0.33672951619355734,24.0,30.0
2022-04-21,selection,wbaseline,19,0.2672923490863861,24.0,37.0
2022-04-21,selection,wbaseline,20,0.45721834536043776,24.0,38.0
2022-04-21,selection,wbaseline,21,0.3058876521109524,24.0,43.0
2022-04-21,selection,wbaseline,22,0.38502588705226876,24.0,47.0
2022-04-21,selection,wbaseline,23,0.2658239969025729,24.0,34.0
2022-04-21,selection,wbaseline,24,0.29178419015965656,24.0,37.0
2022-04-21,selection,wbaseline,25,0.5302690330084736,24.0,31.0
2022-04-21,selection,wbaseline,26,0.2525749475148584,24.0,56.0
2022-04-21,selection,wbaseline,27,0.34041748864236615,24.0,63.0
2022-04-21,selection,wbaseline,28,0.3906443390310019,24.0,59.0
2022-04-28,selection,ensemble_bucket_selected,1,0.31147620665020914,24.0,30.0
2022-04-28,selection,ensemble_bucket_selected,2,0.48721335274308736,24.0,36.0
2022-04-28,selection,ensemble_bucket_selected,3,0.25890274428140386,24.0,41.0
2022-04-28,selection,ensemble_bucket_selected,4,0.44860577557487114,24.0,28.0
2022-04-28,selection,ensemble_bucket_selected,5,0.483899910414988,24.0,30.0
2022-04-28,selection,ensemble_bucket_selected,6,-0.28836616741451493,24.0,21.0
2022-04-28,selection,ensemble_bucket_selected,7,0.3139552404080884,24.0,32.0
2022-04-28,selection,ensemble_bucket_selected,8,0.4565518567970491,24.0,65.0
2022-04-28,selection,ensemble_bucket_selected,9,0.6606621822670001,24.0,48.0
2022-04-28,selection,ensemble_bucket_selected,10,0.5413417934278322,24.0,66.0
2022-04-28,selection,ensemble_bucket_selected,11,0.2961008563196063,24.0,30.0
2022-04-28,selection,ensemble_bucket_selected,12,0.5890843315843315,24.0,37.0
2022-04-28,selection,ensemble_bucket_selected,13,0.42593710291901066,24.0,38.0
2022-04-28,selection,ensemble_bucket_selected,14,0.4164743757803352,24.0,43.0
2022-04-28,selection,ensemble_bucket_selected,15,0.5965491189243962,24.0,47.0
2022-04-28,selection,ensemble_bucket_selected,16,0.6500281584291194,24.0,34.0
2022-04-28,selection,ensemble_bucket_selected,17,0.639539811274412,24.0,37.0
2022-04-28,selection,ensemble_bucket_selected,18,0.5476421748448376,24.0,31.0
2022-04-28,selection,ensemble_bucket_selected,19,0.5965378243921864,24.0,56.0
2022-04-28,selection,ensemble_bucket_selected,20,0.5419968097882382,24.0,63.0
2022-04-28,selection,ensemble_bucket_selected,21,0.6122712228221525,24.0,59.0
2022-04-28,selection,ensemble_bucket_selected,22,0.43930947797398234,24.0,53.0
2022-04-28,selection,ensemble_bucket_selected,23,0.47578483009617245,24.0,54.0
2022-04-28,selection,ensemble_bucket_selected,24,0.4776822268951899,24.0,81.0
2022-04-28,selection,ensemble_bucket_selected,25,0.5982574275096597,24.0,56.0
2022-04-28,selection,ensemble_bucket_selected,26,0.5607791482022252,24.0,65.0
2022-04-28,selection,ensemble_bucket_selected,27,0.4639063595395833,24.0,76.0
2022-04-28,selection,ensemble_bucket_selected,28,0.49824735466253306,24.0,70.0
2022-04-28,selection,ensemble_selected,1,0.2610965666278166,24.0,30.0
2022-04-28,selection,ensemble_selected,2,0.40766870025550556,24.0,36.0
2022-04-28,selection,ensemble_selected,3,0.21656693013400333,24.0,41.0
2022-04-28,selection,ensemble_selected,4,0.34377984593944433,24.0,28.0
