origin,split,model,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
2022-08-18,selection,ensemble_shape_0.30_level_off,0.6367138221094534,5305.0,5055.618816694431,2131.116442793289,-249.3811833055692,-0.04700870561839193,672.0
2022-08-18,selection,ensemble_shape_0.30_level_strong,0.6288716542823137,5305.0,5201.314635801455,2194.0497270407086,-103.68536419854537,-0.019544837737708834,672.0
2022-08-18,selection,ensemble_shape_0.45_level_light,0.6251308327852262,5305.0,5214.097224321389,2206.718839662752,-90.90277567861021,-0.017135301730181,672.0
2022-08-18,selection,ensemble_shape_0.45_level_medium,0.6225976704142634,5305.0,5255.899175276676,2226.2615516824444,-49.10082472332398,-0.009255574877158149,672.0
2022-08-18,selection,ensemble_shape_0.45_level_off,0.6284363517336057,5305.0,5144.001737777642,2179.604761195199,-160.99826222235737,-0.030348400041914678,672.0
2022-08-18,selection,ensemble_shape_0.45_level_strong,0.6209031177120719,5305.0,5280.612145223027,2239.4309771064545,-24.38785477697226,-0.004597145104047551,672.0
2022-08-18,selection,ensemble_shape_0.60_level_light,0.6191235894512414,5305.0,5261.823820739585,2240.2593503017742,-43.17617926041514,-0.008138770831369489,672.0
2022-08-18,selection,ensemble_shape_0.60_level_medium,0.6163542753941528,5305.0,5303.477770058375,2260.9434531311254,-1.5222299416245733,-0.00028694249606495256,672.0
2022-08-18,selection,ensemble_shape_0.60_level_off,0.6227128811388781,5305.0,5188.313309875653,2211.6572659153776,-116.68669012434673,-0.021995606055484774,672.0
2022-08-18,selection,ensemble_shape_0.60_level_strong,0.6149860237801794,5305.0,5324.715847461179,2272.2387245107366,19.715847461178086,0.0037164651199204685,672.0
2022-08-18,selection,hybrid_short_residual_beta_0.5,0.6306911541240101,5305.0,4973.839370244907,2155.937418021271,-331.160629755094,-0.0624242468906869,672.0
2022-08-18,selection,hybrid_short_residual_beta_0.7,0.6301803986840819,5305.0,4990.520735564772,2159.743202475337,-314.47926443522874,-0.0592797859444352,672.0
