model,horizon,score,actual_sum,forecast_sum,abs_error_sum,signed_error_sum,bias_ratio,n_rows
cate2_prophet,12,0.6114449527613927,1100.0,902.2545521681241,474.5912749552384,-197.74544783187594,-0.17976858893806905,144.0
cate2_prophet,13,0.592071049188937,998.0,962.7324480795007,441.3986897898501,-35.2675519204993,-0.03533822837725381,144.0
cate2_prophet,14,0.6243153435944282,1054.0,1044.0807823217629,421.76719904099684,-9.91921767823699,-0.009411022465120484,144.0
cate2_prophet,15,0.6466355628301033,1124.0,956.9222542182424,454.44742699669445,-167.07774578175767,-0.14864568130049616,144.0
cate2_prophet,16,0.5296515291977508,1012.0,946.5496141090514,505.5949615711449,-65.45038589094858,-0.06467429435864484,144.0
cate2_prophet,17,0.5698350544842382,1088.0,929.6787569118657,500.4287238050132,-158.32124308813437,-0.1455158484265941,144.0
cate2_prophet,18,0.5542220844150068,1078.0,940.5164685085898,515.0035776528596,-137.4835314914102,-0.12753574349852523,144.0
cate2_prophet,19,0.5990132261722036,1101.0,932.073684889566,500.3446094127293,-168.9263151104341,-0.15342989564980392,144.0
cate2_prophet,20,0.57514787015149,1026.0,991.6493196228689,462.46370071708236,-34.35068037713101,-0.03348019529934797,144.0
cate2_prophet,21,0.624768153764718,1105.0,1071.9958677690825,447.78221967466584,-33.00413223091758,-0.02986799296915618,144.0
cate2_prophet,22,0.6452685132653229,1162.0,983.3501205835912,464.4350479721951,-178.6498794164088,-0.15374344183856178,144.0
cate2_prophet,23,0.5636903798551672,1018.0,971.4766359993534,478.3953050555406,-46.52336400064645,-0.04570075049179416,144.0
cate2_prophet,24,0.6073568526293273,1148.0,952.966548691863,495.4113127915815,-195.03345130813702,-0.16988976594785454,144.0
cate2_prophet,25,0.5692608321650723,1107.0,962.1071640454044,514.6206886260362,-144.8928359545956,-0.13088783735735826,144.0
cate2_prophet,26,0.6198749949010992,1202.0,951.7861844077677,486.75471752978183,-250.21381559223232,-0.20816457204012673,144.0
cate2_prophet,27,0.5486439087226439,1046.0,1009.5116979410407,495.39058481198583,-36.48830205895937,-0.03488365397606058,144.0
cate2_prophet,28,0.5897384921186929,1153.0,1087.9378273298416,506.4154075442284,-65.06217267015825,-0.05642859728547983,144.0
ensemble,1,0.6646897316044955,1003.0,896.8284755665366,401.85900522045495,-106.17152443346345,-0.10585396254582596,144.0
ensemble,2,0.5876748333169256,982.0,879.2321735945459,447.5351436123517,-102.76782640545414,-0.10465155438437286,144.0
ensemble,3,0.5044686571623055,869.0,841.6147892553578,465.19813104286106,-27.38521074464215,-0.03151347611581375,144.0
ensemble,4,0.564895448116975,962.0,858.5954160781889,462.8384649726693,-103.40458392181111,-0.10748917247589512,144.0
ensemble,5,0.5680225974363857,1024.0,881.4680045118059,491.4607830325258,-142.5319954881941,-0.13919140184393955,144.0
ensemble,6,0.6113054570103815,1010.0,923.7492777059686,431.768334232732,-86.25072229403153,-0.08539675474656587,144.0
ensemble,7,0.620378636944571,963.0,964.9937413035874,419.3063724867498,1.9937413035873846,0.0020703440328010223,144.0
ensemble,8,0.6852534252825665,1050.0,923.8027352700384,387.1345988108876,-126.19726472996172,-0.12018787117139211,144.0
ensemble,9,0.5681054108020874,1063.0,906.5399623444127,494.6913167643214,-156.4600376555873,-0.14718724144457884,144.0
ensemble,10,0.5524608793694138,967.0,869.276939692247,474.1027809793592,-97.72306030775292,-0.1010579734309751,144.0
ensemble,11,0.5523111193721784,1059.0,886.7852128079401,504.97541684743703,-172.21478719205993,-0.1626201956487818,144.0
ensemble,12,0.6158107750207974,1100.0,907.4136417344992,470.5206842376189,-192.58635826550073,-0.17507850751409157,144.0
ensemble,13,0.5976231343347809,998.0,951.7959584636005,435.4764092602021,-46.20404153639938,-0.0462966348060114,144.0
ensemble,14,0.6475902226934842,1054.0,992.2846258574104,397.5731779144688,-61.71537414258953,-0.05855348590378513,144.0
ensemble,15,0.6546536636018331,1124.0,950.5238033745939,444.996544953022,-173.4761966254061,-0.15433825322545025,144.0
ensemble,16,0.5335218265456915,1012.0,931.0746912872413,502.9468523920298,-80.92530871275879,-0.07996572007189603,144.0
ensemble,17,0.5772257714521098,1088.0,895.6080055294926,492.85472745613066,-192.39199447050743,-0.17683087727068697,144.0
ensemble,18,0.5754689216254597,1078.0,910.8561748068719,491.97756229470656,-167.1438251931281,-0.15504993060587022,144.0
ensemble,19,0.5989671727390318,1101.0,931.8899479116528,500.5533621478172,-169.1100520883472,-0.1535967775552654,144.0
